id,居住地,性別,年齡,年齡組,教育程度,職業,婚姻狀況,媒體習慣
2278,臺南市,女,20,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
2279,桃園市,男,50,45–54歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
2280,澎湖縣,男,64,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、WeChat
2281,新北市,男,57,55–64歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
2282,屏東縣,女,42,35–44歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2283,高雄市,女,60,55–64歲,國小以下,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書
2284,南投縣,女,38,35–44歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2285,桃園市,女,46,45–54歲,大學,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
2286,彰化縣,男,37,35–44歲,高中(職),家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
2287,宜蘭縣,男,43,35–44歲,國小以下,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram
2288,臺北市,女,15,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat、WhatsApp、Telegram
2289,高雄市,女,48,45–54歲,高中(職),技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、Threads
2290,宜蘭縣,女,63,55–64歲,國中,管理/主管,已婚,LINE、Facebook、YouTube、TikTok
2291,臺南市,男,61,55–64歲,碩士以上,退休,已婚,LINE、Facebook、YouTube、Instagram
2292,桃園市,男,25,25–34歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Telegram
2293,臺中市,男,61,55–64歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
2294,基隆市,男,76,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
2295,嘉義市,男,60,55–64歲,專科,專業人員,已婚,LINE、Facebook、YouTube
2296,臺中市,女,74,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube
2297,高雄市,女,39,35–44歲,高中(職),專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2298,花蓮縣,女,79,65歲以上,專科,退休,已婚,LINE、Facebook、Instagram、Threads
2299,新竹市,男,48,45–54歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram
2300,彰化縣,男,51,45–54歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube
2301,新北市,女,89,65歲以上,大學,退休,已婚,LINE、Facebook、小紅書
2302,臺南市,女,48,45–54歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
2303,新北市,男,25,25–34歲,碩士以上,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
2304,彰化縣,女,66,65歲以上,國中,退休,未婚,LINE、Facebook、YouTube
2305,高雄市,女,93,65歲以上,高中(職),退休,已婚,LINE、Facebook
2306,南投縣,男,31,25–34歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)、Pinterest
2307,屏東縣,女,49,45–54歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書、Telegram
2308,高雄市,女,48,45–54歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2309,臺南市,女,24,15–24歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram
2310,新北市,男,58,55–64歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、Threads、Telegram
2311,彰化縣,男,17,15–24歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2312,臺中市,女,73,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram
2313,新北市,女,43,35–44歲,大學,家管,未婚,LINE、Facebook、Instagram、TikTok、小紅書、WeChat、WhatsApp
2314,苗栗縣,男,57,55–64歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok
2315,臺北市,男,37,35–44歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Threads
2316,臺中市,男,65,65歲以上,國小以下,退休,已婚,LINE、Facebook、YouTube
2317,雲林縣,女,42,35–44歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、Threads
2318,雲林縣,女,76,65歲以上,國中,退休,未婚,LINE、Facebook、YouTube
2319,臺中市,男,28,25–34歲,高中(職),農林漁牧,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
2320,桃園市,女,77,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram
2321,高雄市,女,85,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube
2322,嘉義市,女,42,35–44歲,專科,家管,已婚,LINE、Facebook、YouTube、Instagram
2323,臺中市,男,61,55–64歲,專科,退休,未婚,LINE、Facebook、YouTube、Instagram
2324,臺北市,男,42,35–44歲,國中,其他/待業,已婚,LINE、Facebook、YouTube、TikTok、WeChat
2325,高雄市,男,49,45–54歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)
2326,新北市,女,43,35–44歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Telegram
2327,臺南市,男,25,25–34歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
2328,新竹市,男,67,65歲以上,高中(職),退休,已婚,LINE、Facebook
2329,澎湖縣,男,62,55–64歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
2330,臺中市,男,33,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat
2331,新竹市,男,39,35–44歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
2332,新北市,女,26,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
2333,屏東縣,女,52,45–54歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube、TikTok、WeChat
2334,高雄市,女,33,25–34歲,碩士以上,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
2335,桃園市,女,48,45–54歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
2336,高雄市,男,27,25–34歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、LinkedIn
2337,高雄市,男,42,35–44歲,大學,家管,已婚,LINE、Facebook、YouTube、TikTok、小紅書、Telegram
2338,嘉義縣,男,51,45–54歲,高中(職),農林漁牧,已婚,LINE、Facebook、YouTube、TikTok
2339,桃園市,女,85,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram
2340,彰化縣,男,72,65歲以上,碩士以上,退休,已婚,LINE、Facebook
2341,桃園市,女,48,45–54歲,高中(職),專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp、Pinterest
2342,彰化縣,女,57,55–64歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube
2343,高雄市,女,61,55–64歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、Threads
2344,南投縣,男,48,45–54歲,碩士以上,服務/銷售,已婚,LINE、Facebook、YouTube、小紅書
2345,高雄市,男,58,55–64歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube
2346,南投縣,男,61,55–64歲,高中(職),其他/待業,已婚,LINE、Facebook、YouTube
2347,新北市,男,68,65歲以上,專科,退休,已婚,LINE、Facebook
2348,臺南市,男,74,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram、小紅書
2349,雲林縣,女,55,55–64歲,高中(職),農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、WeChat
2350,桃園市,女,84,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、Instagram
2351,臺中市,女,28,25–34歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書
2352,雲林縣,男,38,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
2353,臺中市,男,47,45–54歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram
2354,花蓮縣,女,44,35–44歲,專科,其他/待業,未婚,LINE、Facebook、YouTube、Instagram
2355,桃園市,女,34,25–34歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、TikTok
2356,臺南市,女,47,45–54歲,高中(職),技術工/勞工,未婚,LINE、Facebook、Instagram
2357,高雄市,男,33,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
2358,桃園市,男,26,25–34歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Pinterest
2359,臺中市,女,34,25–34歲,專科,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
2360,雲林縣,女,27,25–34歲,碩士以上,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp、Telegram、Pinterest
2361,屏東縣,女,62,55–64歲,專科,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、Threads
2362,澎湖縣,男,65,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
2363,臺南市,男,62,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
2364,高雄市,男,44,35–44歲,國小以下,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、WeChat
2365,臺北市,女,57,55–64歲,碩士以上,專業人員,未婚,LINE、Facebook、YouTube、WeChat
2366,苗栗縣,男,46,45–54歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、WhatsApp
2367,彰化縣,女,42,35–44歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2368,臺南市,女,20,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads、X(Twitter)、WhatsApp
2369,新北市,女,27,25–34歲,碩士以上,事務人員,已婚,LINE、Facebook、YouTube、Instagram
2370,臺北市,女,66,65歲以上,大學,退休,未婚,LINE、Facebook
2371,臺北市,男,42,35–44歲,專科,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
2372,新北市,男,71,65歲以上,大學,退休,未婚,LINE、Facebook
2373,花蓮縣,男,17,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、Telegram
2374,新北市,女,29,25–34歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
2375,新北市,女,35,35–44歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram
2376,苗栗縣,女,59,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok
2377,桃園市,男,24,15–24歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
2378,臺中市,女,53,45–54歲,碩士以上,家管,未婚,LINE、Facebook、YouTube、Instagram
2379,新北市,男,65,65歲以上,大學,退休,已婚,LINE、Facebook
2380,嘉義市,男,62,55–64歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube
2381,彰化縣,女,48,45–54歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書
2382,屏東縣,女,78,65歲以上,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Threads
2383,嘉義縣,男,25,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
2384,屏東縣,女,40,35–44歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok
2385,臺中市,女,64,55–64歲,專科,技術/助理專業,未婚,LINE、Facebook、YouTube
2386,高雄市,男,21,15–24歲,高中(職),其他/待業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
2387,桃園市,男,52,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Threads
2388,臺中市,男,47,45–54歲,國中,技術/助理專業,已婚,LINE、Facebook、YouTube、TikTok、Telegram
2389,臺中市,女,93,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2390,臺中市,男,64,55–64歲,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram
2391,基隆市,女,15,15–24歲,國小以下,技術/助理專業,未婚,LINE、Facebook、Instagram、TikTok、小紅書、WeChat、X(Twitter)
2392,彰化縣,男,28,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2393,南投縣,男,48,45–54歲,高中(職),農林漁牧,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、Snapchat
2394,高雄市,男,17,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)、WhatsApp
2395,臺北市,女,63,55–64歲,專科,事務人員,未婚,LINE、Facebook、YouTube、Instagram
2396,桃園市,女,71,65歲以上,碩士以上,退休,未婚,LINE、Facebook、YouTube、小紅書
2397,桃園市,女,44,35–44歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat、Telegram
2398,高雄市,男,57,55–64歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2399,新北市,女,41,35–44歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
2400,基隆市,女,26,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2401,南投縣,男,28,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat
2402,臺中市,女,60,55–64歲,碩士以上,退休,已婚,LINE、Facebook、YouTube、Instagram、TikTok
2403,彰化縣,男,55,55–64歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
2404,新北市,女,65,65歲以上,碩士以上,家管,未婚,LINE、Facebook、YouTube、Instagram、小紅書
2405,新竹市,女,31,25–34歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2406,彰化縣,女,30,25–34歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書
2407,高雄市,男,49,45–54歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube
2408,臺南市,女,51,45–54歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube
2409,臺北市,男,46,45–54歲,國小以下,專業人員,已婚,LINE、Facebook、YouTube、Instagram
2410,新北市,女,17,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram
2411,基隆市,男,52,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、X(Twitter)
2412,新竹縣,女,51,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
2413,新北市,男,36,35–44歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
2414,花蓮縣,男,38,35–44歲,大學,事務人員,未婚,LINE、Facebook、YouTube、Instagram、Threads
2415,臺中市,女,41,35–44歲,碩士以上,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、Telegram
2416,臺中市,女,37,35–44歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram
2417,臺南市,男,35,35–44歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)、Pinterest
2418,新北市,女,54,45–54歲,碩士以上,家管,已婚,LINE、Facebook、YouTube、TikTok、小紅書、Threads、Pinterest
2419,彰化縣,女,49,45–54歲,國中,事務人員,未婚,LINE、Facebook、YouTube、小紅書、Telegram
2420,臺中市,男,61,55–64歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
2421,臺中市,男,53,45–54歲,高中(職),專業人員,已婚,LINE、YouTube、Instagram、TikTok
2422,嘉義市,女,95,65歲以上,碩士以上,退休,未婚,LINE、Facebook、Instagram
2423,桃園市,男,66,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、Instagram
2424,南投縣,男,63,55–64歲,專科,退休,已婚,LINE、Facebook、YouTube、Instagram、小紅書
2425,桃園市,男,87,65歲以上,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram
2426,高雄市,女,74,65歲以上,專科,退休,已婚,LINE、Facebook
2427,臺中市,女,34,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2428,新北市,男,33,25–34歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、TikTok
2429,高雄市,女,58,55–64歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube
2430,新北市,男,65,65歲以上,國小以下,退休,未婚,LINE、Facebook、YouTube、Instagram、Threads
2431,臺中市,女,47,45–54歲,高中(職),家管,未婚,LINE、Facebook、YouTube
2432,苗栗縣,男,57,55–64歲,高中(職),管理/主管,已婚,LINE、YouTube
2433,臺北市,女,30,25–34歲,大學,技術/助理專業,未婚,LINE、Facebook、Instagram、Tumblr
2434,新北市,男,19,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
2435,新北市,男,64,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、Pinterest
2436,苗栗縣,女,20,15–24歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Threads
2437,臺南市,男,34,25–34歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Pinterest
2438,新北市,女,44,35–44歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube
2439,臺東縣,女,19,15–24歲,國小以下,學生,未婚,LINE、YouTube、Instagram、小紅書、X(Twitter)、Pinterest
2440,基隆市,女,70,65歲以上,高中(職),服務/銷售,未婚,LINE、Facebook
2441,雲林縣,男,74,65歲以上,國小以下,退休,已婚,LINE、Facebook、YouTube、小紅書
2442,新北市,女,15,15–24歲,大學,專業人員,未婚,LINE、YouTube、Instagram、TikTok、小紅書、WhatsApp、Pinterest、LinkedIn
2443,臺中市,女,51,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Threads
2444,彰化縣,男,31,25–34歲,國小以下,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
2445,臺南市,女,48,45–54歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、WeChat、Threads
2446,臺南市,女,73,65歲以上,高中(職),退休,未婚,LINE、Facebook、Instagram
2447,屏東縣,女,49,45–54歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram
2448,屏東縣,男,30,25–34歲,碩士以上,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、WhatsApp
2449,臺中市,男,37,35–44歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、Threads、WhatsApp
2450,臺北市,女,68,65歲以上,大學,家管,未婚,LINE、Facebook、YouTube
2451,新北市,男,39,35–44歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、WeChat、Telegram
2452,桃園市,女,26,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
2453,臺北市,男,68,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、TikTok、Threads
2454,新北市,男,42,35–44歲,大學,技術/助理專業,未婚,LINE、Facebook、TikTok
2455,新北市,女,34,25–34歲,國中,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
2456,新北市,女,17,15–24歲,大學,其他/待業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Tumblr、Snapchat
2457,臺中市,女,65,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
2458,臺中市,男,44,35–44歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
2459,新北市,女,77,65歲以上,大學,家管,已婚,LINE、Facebook、YouTube、Instagram
2460,屏東縣,女,63,55–64歲,國中,農林漁牧,已婚,LINE、Facebook、YouTube、Instagram
2461,臺南市,女,22,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
2462,屏東縣,男,79,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube
2463,臺北市,男,41,35–44歲,專科,家管,未婚,LINE、Facebook、YouTube、TikTok、小紅書
2464,新北市,女,74,65歲以上,國小以下,退休,未婚,LINE、Facebook
2465,南投縣,女,16,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
2466,臺北市,男,61,55–64歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube
2467,高雄市,男,76,65歲以上,碩士以上,家管,已婚,LINE、Facebook、YouTube
2468,基隆市,女,43,35–44歲,國小以下,家管,未婚,LINE、Facebook、YouTube、TikTok
2469,臺中市,女,15,15–24歲,專科,學生,未婚,LINE、Facebook、YouTube、TikTok、WeChat
2470,苗栗縣,女,28,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
2471,臺北市,男,64,55–64歲,大學,退休,已婚,LINE、Facebook、YouTube、Instagram、WeChat
2472,屏東縣,男,49,45–54歲,高中(職),家管,已婚,LINE、Facebook、YouTube、TikTok
2473,臺南市,男,62,55–64歲,大學,退休,已婚,LINE、Facebook、YouTube、Instagram
2474,臺南市,男,63,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Threads
2475,臺中市,男,74,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram
2476,臺中市,女,59,55–64歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok
2477,嘉義縣,女,34,25–34歲,專科,農林漁牧,未婚,LINE、Facebook、TikTok、小紅書、WeChat、X(Twitter)
2478,屏東縣,男,39,35–44歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、X(Twitter)
2479,新北市,男,37,35–44歲,碩士以上,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、Threads
2480,臺中市,男,30,25–34歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、WeChat、Threads、X(Twitter)
2481,屏東縣,男,41,35–44歲,高中(職),農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
2482,彰化縣,男,78,65歲以上,國小以下,退休,未婚,LINE、Facebook、YouTube、Instagram
2483,臺北市,男,38,35–44歲,專科,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
2484,臺南市,男,30,25–34歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
2485,新北市,男,48,45–54歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
2486,臺中市,女,35,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
2487,臺中市,男,42,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Telegram、Pinterest
2488,桃園市,女,54,45–54歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、Pinterest
2489,臺中市,女,63,55–64歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram
2490,新竹縣,男,72,65歲以上,國中,專業人員,已婚,LINE、Facebook
2491,桃園市,男,84,65歲以上,碩士以上,退休,未婚,LINE、Facebook、YouTube、WeChat
2492,臺中市,男,54,45–54歲,專科,家管,已婚,LINE、Facebook、YouTube、Instagram、小紅書
2493,新北市,女,69,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、TikTok、小紅書
2494,新竹市,男,25,25–34歲,大學,管理/主管,未婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat、WhatsApp
2495,新竹市,男,67,65歲以上,碩士以上,其他/待業,已婚,LINE、Facebook、TikTok
2496,臺南市,女,60,55–64歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
2497,新北市,女,16,15–24歲,大學,學生,未婚,LINE、YouTube、Instagram、WeChat、Threads、Pinterest
2498,臺中市,男,53,45–54歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube
2499,屏東縣,男,67,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram、Telegram
2500,屏東縣,女,88,65歲以上,高中(職),事務人員,已婚,LINE、Facebook、YouTube
2501,高雄市,男,54,45–54歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
2502,臺中市,女,90,65歲以上,專科,家管,已婚,LINE、Facebook、YouTube
2503,新竹縣,女,22,15–24歲,專科,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)、WhatsApp
2504,屏東縣,女,24,15–24歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、WhatsApp
2505,新竹縣,男,40,35–44歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
2506,臺北市,女,93,65歲以上,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、WeChat
2507,屏東縣,女,33,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
2508,高雄市,女,61,55–64歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、WeChat、Threads
2509,高雄市,男,72,65歲以上,高中(職),退休,已婚,LINE、Instagram
2510,臺北市,女,55,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、Instagram、Threads
2511,臺南市,男,74,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube、Instagram、Threads
2512,高雄市,女,73,65歲以上,碩士以上,事務人員,未婚,LINE、Facebook、YouTube、Instagram
2513,新北市,女,18,15–24歲,國中,其他/待業,未婚,LINE、Facebook、YouTube、TikTok、Threads、WhatsApp
2514,臺北市,女,28,25–34歲,國小以下,服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、小紅書
2515,雲林縣,男,27,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
2516,臺南市,男,58,55–64歲,大學,家管,未婚,LINE、Facebook、Instagram、Threads
2517,苗栗縣,男,52,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok
2518,高雄市,女,59,55–64歲,高中(職),家管,未婚,LINE、Facebook、WeChat
2519,新北市,女,61,55–64歲,國小以下,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
2520,臺中市,男,83,65歲以上,國中,技術工/勞工,未婚,LINE、Facebook
2521,臺中市,男,25,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書
2522,新北市,女,25,25–34歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads、X(Twitter)、Pinterest
2523,雲林縣,男,23,15–24歲,國中,農林漁牧,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
2524,高雄市,女,43,35–44歲,國中,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
2525,桃園市,女,53,45–54歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok、小紅書、WhatsApp
2526,彰化縣,男,17,15–24歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、WeChat、X(Twitter)、Telegram、Pinterest、Tumblr
